somebody,47860
politics,47806
piece,47610
inside,47459
instead,47376
peace,47366
events,47273
stuff,47253
points,47244
union,47120
bill,47049
rather,47047
end,46844
commercial,46810
beautiful,46803
ten,46651
used,46636
amount,46613
showed,46561
sexual,46503
opportunity,46500
stand,46495
efforts,46486
middle,46468
design,46467
allow,46464
effects,46456
star,46442
professor,46387
help,46363
skills,46362
understanding,46355
district,46342
meeting,46325
put,46288
ahead,46278
necessary,46239
doctor,46091
video,46051
mom,45884
march,45846
no,45822
organization,45765
bank,45732
lines,45729
impact,45724
cost,45702
positive,45701
radio,45699
total,45616
fish,45612
ran,45529
region,45512
range,45399
box,45340
sit,45333
write,45316
down,45254
throughout,45103
response,44997
conditions,44875
sort,44833
call,44789
production,44753
skin,44722
weight,44641
scene,44596
eat,44512
pain,44425
past,44415
island,44175
section,44162
justice,44112
global,44040
spend,44037
page,44029
violence,44015
loss,43961
thinking,43949
interesting,43913
products,43841
leader,43840
worked,43731
glass,43715
modern,43682
evening,43614
sunday,43557
senate,43532
cancer,43511
used,43482
break,43455
places,43356
hall,43281
kitchen,43232
absolutely,43222
early,43210
earlier,43191
agree,43176
participants,43153
senior,43152
senator,43139
stage,43013
asked,43010
expect,43006
walked,42947
kept,42927
key,42916
whom,42866
rates,42861
fresh,42854
museum,42787
front,42785
needed,42749
civil,42731
held,42684
budget,42575
sea,42524
offer,42514
parts,42511
individuals,42444
alone,42427
spring,42346
species,42283
like,42276
mouth,42258
professional,42255
council,42209
stock,42177
club,42126
differences,42114
step,42070
source,42046
set,42016
instead,41965
considered,41957
dollars,41944
sister,41897
democrats,41897
build,41890
message,41847
nor,41688
western,41654
arm,41579
bit,41538
nuclear,41506
access,41447
put,41439
works,41427
effective,41410
gas,41392
subject,41387
conference,41349
july,41289
serve,41259
best,41257
critical,41252
rules,41248
june,41239
answer,41230
majority,41225
agency,41198
shows,41145
seeing,41132
theory,41112
editor,41105
may,41087
dad,41026
activity,40981
beginning,40974
leaving,40970
living,40880
holding,40874
decided,40870
values,40759
follow,40737
trees,40722
sports,40715
telling,40633
capital,40627
store,40598
republicans,40515
election,40513
southern,40479
successful,40467
none,40455
born,40454
ball,40429
trouble,40379
larger,40362
set,40361
ideas,40324
safety,40262
walk,40228
therefore,40192
dinner,40183
base,40153
crime,40116
dog,40070
heavy,40006
starting,39975
reasons,39930
sorry,39902
lead,39849
brought,39819
growing,39802
goal,39716
eventually,39680
benefits,39665
held,39661
listen,39627
perfect,39620
event,39598
gives,39596
please,39563
lose,39559
prices,39529
drugs,39523
trial,39520
camera,39516
marriage,39510
insurance,39447
deep,39377
original,39361
letter,39357
play,39292
nobody,39237
lot,39230
turns,39211
rock,39196
african,39089
basic,39081
nations,39028
executive,39025
send,39010
station,38991
further,38959
status,38954
thousands,38949
surface,38928
reality,38851
die,38697
directly,38557
moved,38554
web,38521
concerned,38461
teaching,38423
second,38351
speech,38188
costs,38141
nine,38091
standards,38085
british,38084
player,38069
remain,38066
material,38027
cars,38017
reading,37950
hotel,37948
stars,37945
soviet,37932
immediately,37930
wide,37927
lost,37914
written,37835
powerful,37834
completely,37830
fell,37824
factors,37809
trip,37776
designed,37748
governor,37735
term,37721
involved,37700
character,37668
collection,37593
chair,37562
walking,37536
safe,37526
expected,37504
slowly,37503
bit,37450
network,37428
develop,37380
labor,37376
edge,37340
generally,37198
style,37198
opened,37192
kill,37174
through,37103
lack,37091
tough,37090
chinese,37071
secretary,36979
fall,36959
